# Stores retired on 2026-09-02: businesses that are not home and living.
# Soft-deleted -- clearing deleted_at brings any of them back whole.
# id	name
da8387a1-ab6f-4d7a-85f1-ebb317b6d462	Uzman Teknik Servis (Beyaz eşya küçük ev aletleri klima televizyon) Eca Kumtel Lüxell Boğazlıyan Yetkili Servisi
424a7d1d-80b6-414f-9dc4-7ed69367ad97	Yöremar Mutfak Kafe Sarkuteri Altinkum
0b8104d5-d76c-46af-96a8-ebea94708687	Zemin Home Cafe - Vintage Cafe
d0c34fa2-3e6e-4dbb-8d39-3399ab81c702	Zeytinyağlı NEFİS MUTFAK Ev Yemekleri restaurant
cbc3191c-791d-4be3-ba49-94166aae10dd	ÇINAR TEKNİK ISITMA ISITMA VE SOĞUTMA KÜÇÜK EV ALETLERİ SERVİS
84dcf39b-ba51-44c3-8dee-819ddd94995a	ÇKS BEYAZ EŞYA KLİMA SERVİSİ
041a747c-690e-4547-8aa2-cb626764a2ab	Çidem Halı Saha
6c0de778-0652-4f5f-ac57-d25b7e53734e	Özcan Teknik kırıkkale kombi servisi.beyaz eşya servisi.klima servisi.küçük ev aletleri servisi tamircisi
1ea27397-82a5-4140-96b8-aff13e6f8017	Özdemir Halı Saha
19a20412-7252-4127-bdf8-ea13dc01fe75	Özçevik Servis - Fakir, Karaca, Homend, Arnica, Libelle, Delonghi, Braun, Thomas, Lura, Goldmaster Yetkili Servisi
c8ceb122-5cd9-4bfe-b8ab-9bfa57ad2498	İbrahim Aksin Spor Kompleksi
e96ce102-f4d0-445a-b51b-df4e31f6bc02	Şahhane Sofra
3179e49f-3d59-4166-8909-80cd968872dc	Şanlıurfa Beyaz Eşya Tamircisi
